UIN;Latitude;Longitude;Power
41;52.48602;13.33756;11
245;52.46387129;13.40454045;11
1;52.49946;13.34205;11
213;52.51771282;13.41233278;11
119;52.52748773;13.36055219;11
380;52.511667;13.4975;11
237;52.53382;13.403185;11
297;52.54911934;13.41397819;11
243;52.486057;13.424146;11
9;52.50535183;13.33877561;11
102;52.523223;13.362537;11
49;52.4991592;13.3658606;11
62;52.49534495;13.30897183;11
327;52.50076675;13.46256256;11
418;52.45239;13.52182;11
436;52.4066961;13.1867293;11
266;52.53384;13.41481;11
395;52.555667;13.198333;11
30;52.490939;13.330472;11
280;52.4934591;13.4374187;11
148;52.504414;13.284531;11
270;52.549891;13.389753;11
57;52.49118;13.31444;11
438;52.4325807;13.5276933;11
442;52.427222;13.5275;11
313;52.54529;13.42681;11
124;52.519933;13.380231;11
215;52.54703;13.35395;11
81;52.5143151;13.30959898;11
373;52.5468803;13.2096584;11
184;52.535955;13.368842;11
111;52.51222941;13.38253749;11
42;52.500883;13.3168;11
134;52.5164176;13.2935602;11
149;52.489;13.39304;11
91;52.505012;13.299993;11
288;52.562222;13.324444;11
307;52.5519584;13.4137127;11
126;52.49694;13.28824;11
173;52.5186776;13.2868023;11
347;52.523056;13.466111;11
87;52.50819;13.30154;11
276;52.53823713;13.41358585;11
72;52.506822;13.306286;11
377;52.557914;13.218403;11
58;52.48239;13.34571;11
363;52.516139;13.479989;11
305;52.4631396;13.4346779;11
211;52.51351;13.26632;11
354;52.46878;13.46791;11
232;52.52443823;13.41295134;11
330;52.514612;13.463083;11
183;52.53180934;13.37785;11
3;52.50286399;13.33900094;11
264;52.530269;13.418482;11
369;52.5078;13.48607;11
244;52.535712;13.405008;11
153;52.52495322;13.30083006;11
384;52.55865514;13.21092524;11
254;52.524167;13.421389;11
398;52.505603;13.513615;11
274;52.54973443;13.39149107;11
201;52.530483;13.39135;11
241;52.48989;13.42473;11
251;52.525192;13.420235;11
372;52.532269;13.198206;11
158;52.4858334;13.3937477;11
242;52.53147;13.40938;11
168;52.4641226;13.3301081;11
387;52.49874;13.50216;11
36;52.5104342;13.3307336;11
39;52.48831788;13.34968;11
233;52.52923335;13.40817;11
220;52.498455;13.4198568;11
151;52.523719;13.380581;11
225;52.4529506;13.31587;11
92;52.516632;13.309385;11
61;52.4854971;13.3612138;11
301;52.5473706;13.4195324;11
65;52.520314;13.345655;11
170;52.528994;13.378528;11
17;52.4949216;13.3499858;11
321;52.4851581;13.4581076;11
164;52.529722;13.373889;11
366;52.5229341;13.4804309;11
157;52.47035471;13.3724067;11
212;52.51962777;13.26945478;11
294;52.483889;13.443611;11
53;52.48837481;13.36015688;11
181;52.53428238;13.37029698;11
179;52.464786;13.367182;11
250;52.45242;13.38491;11
167;52.519711;13.390212;11
6;52.50139;13.3458001;11
86;52.51094387;13.37638854;11
5;52.503333;13.339722;11
437;52.4275195;13.5211383;11
443;52.43056348;13.53354603;11
205;52.529125;13.395841;11
222;52.45652;13.37672;11
367;52.54790289;13.21765113;11
84;52.521068;13.321196;11
253;52.55505;13.34154;11
235;52.516448;13.260862;11
273;52.51705;13.43233;11
204;52.54032;13.37136;11
145;52.522819;13.380966;11
14;52.50410008;13.34877211;11
439;52.4343407;13.5303832;11
346;52.53077;13.46129;11
108;52.52338373;13.36629085;11
146;52.5194301;13.3855762;11
246;52.48579;13.4253;11
283;52.53164022;13.42621871;11
240;52.5355038;13.4029841;11
85;52.52391;13.33242;11
230;52.52275976;13.41390533;11
217;52.465567;13.395649;11
314;52.54666;13.42499;11
309;52.53081131;13.44118404;11
284;52.521066;13.434841;11
37;52.49857468;13.35951536;11
328;52.550148;13.433568;11
336;52.56625174;13.40601374;11
143;52.509536;13.393106;11
261;52.48344;13.42837;11
13;52.499416;13.329086;11
43;52.513015;13.329802;11
208;52.51579;13.41046;11
32;52.488661;13.340837;11
252;52.54518;13.39148;11
131;52.52118;13.30025;11
355;52.531126;13.468979;11
272;52.485832;13.433537;11
101;52.475155;13.323667;11
286;52.4789798;13.4364408;11
75;52.5077475;13.3740438;11
275;52.482664;13.432248;11
35;52.50553;13.322816;11
